State,Domain,Category,Plain_English_Definition,Typical_Trigger,How_To_Interpret,Portfolio_Implication,What_Not_To_Infer,Key_Data
FISCAL_TERM_PREMIUM_DOMINANCE,Rates/Cross-asset,Regime,"Long-end Treasury yields remain elevated or rise even when inflation data would normally support a bond rally, implying fiscal supply, term premium or real-rate pressure is dominating the usual inflation-to-rates transmission.",Benign/soft inflation impulse + weak or absent 10Y/30Y rally; stronger when auctions are weak or the 30Y remains above stress thresholds.,The market is demanding more compensation to fund duration independently of the near-term Fed path.,Reduce reliance on long-duration beta; raise hurdle for expensive long-duration equities; favor cash-flow resilience and shorter-duration expressions.,"Do not infer that the Fed must hike, or that equities must immediately fall.","CPI/PPI surprises, 2Y/10Y/30Y yields, curve, auctions, real yields."
AUCTION_CONCESSION_STRESS,Rates,Confirmation,"Treasury auctions require unusually high yields or show weak demand, confirming duration-supply pressure.","Large auction tail, weak bid-to-cover/indirect demand, or clearing yield near/extending recent extremes.",Primary-market demand is requiring a concession.,Strengthens fiscal/term-premium warnings and duration caution.,One weak auction alone is not a regime change.,"10Y/30Y auction tail, bid-to-cover, indirect/direct demand."
FRONT_END_LONG_END_DECOUPLING,Rates,Regime,"Near-term Fed expectations ease while the 10Y/30Y fail to follow, separating policy-rate repricing from duration risk.",2Y/front-end yields fall or hike odds decline while 10Y/30Y stay flat/up.,The curve is being driven by more than the Fed reaction function.,Treat duration separately from Fed policy; require long-end confirmation for bond adds.,Do not equate dovish Fed repricing with a guaranteed long-bond rally.,"2Y, 10Y, 30Y changes; OIS/Fed probabilities."
MARKET_IMPOSED_TIGHTENING,Rates/Equity,Regime,Financial conditions tighten through higher long-term yields and funding costs even without a policy-rate hike.,10Y/30Y or real yields remain high/rise while the policy rate is unchanged or expected to ease.,The bond market is doing part of the central bank's tightening work.,Penalize refinancing-dependent and long-duration assets; favor strong FCF and low leverage.,Do not treat it as identical to a central-bank hike; transmission is asset-specific.,"Long yields, real yields, credit spreads, mortgage/corporate rates."
YEN_TREASURY_FEEDBACK_LOOP,FX/Rates,Risk,"USD/JPY pressure, Japanese yields and intervention/reserve-management mechanics can feed back into Treasury demand and the US curve.",USDJPY near intervention territory + elevated JGB yields/yield-gap stress + intervention/reserve-flow risk.,An FX event can become a rates-flow event.,Raise cross-asset fragility monitoring around intervention episodes.,Do not assume intervention automatically means Treasury selling or a weaker dollar.,"USDJPY, JGBs, US/Japan yield gap, intervention details, reserve flows."
PRODUCT_TIGHTNESS_WITHOUT_CRUDE_TIGHTNESS,Commodities/Inflation,Regime,Refined-product markets tighten materially even when headline crude prices are not signaling equivalent scarcity.,Crack spreads/product prices/inventories tighten while WTI/Brent are flat or less stressed.,Inflation pressure may be hiding downstream in refining/product markets.,Use diesel/gasoil/gasoline/jet and refinery data in the inflation/energy score.,Do not conclude energy inflation is benign from crude alone.,"Crack spreads, product inventories, refinery utilization/outages, exports."
OIL_SUPPLY_DEMAND_WEDGE,Commodities,Regime,"Physical supply disruption and demand destruction coexist, creating two-sided nonlinear oil risk.",Constrained flows/inventory draws coexist with weakening demand revisions or usage.,"Upside convexity persists while the choke point remains constrained, but normalization can expose a sudden surplus.",Prefer conditional scenarios and defined-risk expressions; monitor physical buffers.,Do not extrapolate a high spot price linearly or assume demand destruction guarantees immediate downside.,"Hormuz traffic, inventories, SPR releases, demand revisions, curve, oil-on-water."
STRATEGIC_RESERVE_REBUILD_DEMAND,Commodities,Slow state,Large importers rebuilding strategic/commercial reserves create an additional medium-term source of physical demand.,Announced capacity expansion plus evidence of reserve-filling flows.,Inventory rebuilding is demand first and potential emergency supply later.,"Add to medium-term oil-demand balance, not the daily trading signal.",Do not count announced capacity as actual demand until filling begins.,"Reserve capacity, fill rates, imports, stock policy."
CROSS_ASSET_CAUSAL_DECOMPOSITION,Cross-asset,Interpretive rule,"When normally dissimilar assets move together, decompose each move by its own causal engine before declaring correlations broken.",Unusual co-movement such as tech + energy + USD all rising.,Different assets may be responding to different shocks simultaneously.,Require causal attribution before using cross-asset divergence as a trade signal.,Do not assume unusual correlation equals market dysfunction.,"Rates, earnings, physical commodity data, FX, positioning."
UNDEREXPOSED_RALLY_CHASE,Positioning,Regime,"Price recovers faster than investor exposure after a washout, creating forced re-risking and an upside pain trade.",Sharp deleveraging/position cuts followed by price stabilization/rebound while positioning remains light.,The rally can extend because investors are under-positioned rather than crowded.,Avoid reflexive shorts; use breadth and positioning to judge chase risk.,Do not infer underexposure from narrative alone.,"CFTC, prime-broker proxies, dealer positioning, breadth, price."
AI_CROWDING_LOCATION,Positioning/Equity,Diagnostic,"Crowding is measured separately across Mag 7, semiconductors, software/TMT and broader AI beneficiaries rather than using one 'AI crowded' label.","Large dispersion in positioning, valuation or breadth across AI sub-groups.",Risk can migrate within the AI complex.,Size tactical AI exposure by sub-group crowding and relative valuation.,Do not assume a crowded semiconductor book means all mega-cap technology is crowded.,"Prime-broker/CFTC proxies, valuations, breadth, relative strength."
MONETARY_RESTRAINT_EFFECTIVENESS,Rates/Macro,Reaction-function input,"Tests whether high policy rates are actually restraining borrowing, capital raising, hiring and investment.","Policy rates high but credit demand/capex/issuance remain strong, or vice versa.",The effective neutral/terminal rate may differ from what the policy-rate level alone implies.,Adjust Fed scenario priors and financing-sensitive asset selection.,One Fed speaker's opinion is not itself the state.,"Capex, issuance, lending, credit growth, hiring, policy rates."
REAL_YIELD_PRECIOUS_METALS_DOMINANCE,Precious metals/Rates,Regime,Gold and silver are treated primarily through their real opportunity cost rather than headline inflation alone.,Changes in real yields explain bullion better than CPI direction.,High/rising real yields can offset inflation/geopolitical support for metals.,Require real-yield/USD confirmation before aggressive precious-metals adds.,Do not use 'inflation up = gold up' mechanically.,"TIPS real yields, nominal yields, breakevens, USD, bullion."
EVENT_VOLATILITY_EDGE_NOT_DIRECTIONAL_EDGE,Event-aware,Rule,A macro release may offer a strong expectation of larger range/volatility without offering a reliable directional edge.,Historical event-day ranges rise while directional hit rate is weak/unstable.,"The tradeable edge may be movement, not direction.",Use defined levels/options structures and post-release cross-asset confirmation.,Do not convert event importance into directional certainty.,"Historical event returns/ranges, implied vol, realized vol."
PRECIOUS_METALS_CONFIRMATION,Precious metals,Execution gate,Higher-beta precious-metals exposure requires bullion stabilization/reclaim plus favorable real-yield/USD transmission.,Bullion holds/reclaims key level; real yields/USD stop working against it; miners stop underperforming.,Macro support must show up in the underlying before miners receive capital.,Block or limit miner adds until confirmation.,Do not let a strategic gold thesis justify a miner purchase automatically.,"Gold, miners/gold relative strength, real yields, USD."
TECHNICAL_EXTERNAL_OVERLAY,Technical,Source rule,Proprietary external technical models may frame levels and scenarios but remain source assertions until independently confirmed.,External VC-PMI/cycle/model level is supplied.,"Useful for map/levels, not Crown truth.",Use as secondary support/resistance context only.,Do not allow proprietary external levels to independently trigger capital.,External model levels + Crown price/flow confirmation.
SEASONALITY_AS_PRIOR_NOT_TRIGGER,Technical/Macro,Source rule,Seasonality can adjust prior probabilities but cannot override live evidence or strategic deployment.,Seasonal pattern is historically robust enough to note.,Calendar effects are weak contextual priors.,Use small confidence adjustment only.,Do not delay Layer 1 solely because of a seasonal claim.,"Seasonal return distributions, conditional samples."
SOURCE_WEIGHTING,Governance,Rule,"Research inputs are weighted by provenance, directness, freshness and independence rather than rhetoric or confidence of the author.",Any external research claim enters Crown.,Primary data and independently verifiable evidence receive more weight than narrative assertions.,Down-weight unverified/leaked/proprietary claims and avoid double counting.,Do not turn a compelling narrative into a model signal without measurable evidence.,"Source metadata, freshness, primary/secondary status."
LAYERED_TRADER_IDENTITY,Portfolio architecture,Principle,Long-term strategic holdings and a separate tactical sleeve coexist and are measured separately.,Always-on portfolio architecture.,Active trading supplements rather than replaces strategic compounding.,Keep Layer 1 permission and Layer 2/3 performance attribution separate.,Do not let a tactical loss rewrite the strategic thesis.,Portfolio layer labels and attribution.
THESIS_EXPRESSION_SEPARATION,Execution,Rule,"A macro thesis, transmission mechanism and chosen instrument are evaluated separately.",Any proposed or existing trade.,A thesis can be right while the expression is wrong.,"Score thesis, expression, timing and sizing independently; switch expression if transmission fails.",Do not defend a poor proxy because the macro story still sounds right.,"Thesis record, causal channel, instrument behavior."
EXPRESSION_PROXIMITY,Execution,Rule,"For event/geopolitical trades, prefer instruments closest to the causal transmission channel.",Multiple possible expressions exist for a catalyst.,Closer instruments usually carry less basis/transmission risk.,Favor direct transmission unless costs/liquidity make it inferior.,Cheap relative valuation alone is not enough if the instrument is too remote from the shock.,"Catalyst, instrument exposure, basis sensitivity."
CHEAP_CONVEXITY_FILTER,Options/Execution,Gate,"Cheap optionality is actionable only when valuation, catalyst, expression and technical context align.",IV attractive versus realized + defined catalyst horizon + suitable instrument + confirmation + bounded downside.,Mispriced convexity can improve payoff asymmetry.,Permit defined-risk option structures when all filters pass.,IV below realized volatility alone is not a buy signal.,"IV, realized vol, catalyst calendar, technical state, option structure."
INSTRUMENT_PLUMBING,Execution,Rule,"Expression selection incorporates roll yield, carry, liquidity, spread, tax/operational complexity and implementation cost.","Choosing between futures, ETF/ETC, options or related instruments.",Two instruments with similar beta can have very different realized economics.,Prefer the cleaner implementation when exposure is equivalent.,Do not compare only headline price exposure.,"Roll curve, expense ratio, spread, liquidity, tax, option terms."
TECHNICAL_FLOW_CONFLUENCE,Technical/Positioning,Confirmation,A technical level is stronger when it aligns with plausible systematic or institutional flow.,Major MA/support/resistance + CTA/trend/dealer/flow threshold in the same region.,The level has a market-mechanics reason to matter.,Increase tactical confidence modestly; never make it a standalone signal.,Do not assume every 200-day moving average has CTA support.,"Price levels, CTA proxy, dealer gamma, volume/flow."
EXIT_WHEN_TRADE_CHANGES,Execution,Rule,Exit or reduce when the payoff distribution materially deteriorates even before full thesis invalidation.,"Underlying softens, contrary supply/news appears, asymmetry worsens, theta/expiry becomes material or transmission changes.","Protecting accrued edge is part of the trade, not an admission of analytical failure.",Allow profit-taking/reduction before expiry or formal stop.,Do not wait for the original thesis to become completely false.,"Price behavior, catalyst changes, option decay, new information."
